sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
validateCode图片验证码,2932,33,16,62,6,1034,0.0,147.5888452632639,6.34170819490587,74.01322260185175
getCode,2931,43,26,107,0,1085,0.0,149.17548859934854,9.469147225544585,58.94466971196622
登陆,2930,224,221,369,7,1288,0.0,148.54998986006896,8.994237667308862,123.77932457768736
总体,8793,100,38,287,0,1288,0.0,440.57520793666697,24.523325154699872,125.50596183629997
